Indiana,Montgomery County IN,3,6,66.70
Indiana,Noble County IN,5,6,67.64
Indiana,Perry County IN,9,6,70.37
Indiana,Pike County IN,5,8,73.01
Indiana,Spencer County IN,7,8,72.05
Indiana,Wabash County IN,5,6,70.67
Indiana,Warren County IN,7,8,63.69
Iowa,Adair County IA,7,8,70.61
Iowa,Audubon County IA,7,8,65.87
Iowa,Boone County IA,5,6,77.13
Iowa,Butler County IA,7,8,71.86
Iowa,Clayton County IA,7,8,70.68
Iowa,Clinton County IA,5,4,69.67
Iowa,Henry County IA,9,6,70.74
Iowa,Howard County IA,11,6,66.67
Iowa,Ida County IA,7,8,70.27
Iowa,Jasper County IA,5,6,74.57
Iowa,Keokuk County IA,7,8,66.93
Iowa,Louisa County IA,5,8,71.01
Iowa,Marshall County IA,5,4,66.66
Iowa,Muscatine County IA,5,4,66.44
Iowa,Page County IA,11,6,71.80
Kansas,Atchison County KS,3,6,70.89
Kansas,Clay County KS,9,6,63.17
Kansas,Cowley County KS,5,4,65.83
Kansas,Crawford County KS,5,4,73.24
Kansas,Elk County KS,7,8,65.90
Kansas,Franklin County KS,1,6,65.60
Kansas,Harper County KS,7,8,64.62
Kansas,Marshall County KS,9,6,68.45
Kansas,Morris County KS,9,8,68.87
Kansas,Reno County KS,5,4,71.18
Kentucky[E],Anderson County KY,5,6,66.64
Kentucky[E],Barren County KY,5,6,67.53
Kentucky[E],Bath County KY,5,8,59.92
Kentucky[E],Breckinridge County KY,7,8,71.52
Kentucky[E],Franklin County KY,5,4,69.38
Kentucky[E],Green County KY,7,8,70.02
Kentucky[E],Hart County KY,7,8,68.67
Kentucky[E],Lawrence County KY,7,6,71.48
Kentucky[E],Lewis County KY,5,8,72.08
Kentucky[E],Madison County KY,5,4,76.68
Kentucky[E],Mason County KY,3,6,68.27
Kentucky[E],Monroe County KY,9,8,66.34
Kentucky[E],Montgomery County KY,5,6,67.91
Kentucky[E],Muhlenberg County KY,5,6,72.40
Kentucky[E],Nelson County KY,1,6,68.81
Kentucky[E],Nicholas County KY,7,8,57.00
Kentucky[E],Todd County KY,7,8,62.09
Louisiana,Acadia Parish LA,5,2,63.67
Louisiana,Assumption Parish LA,5,6,70.21
Louisiana,Beauregard Parish LA,5,6,69.63
Louisiana,Caldwell Parish LA,7,8,64.92
Louisiana,Claiborne Parish LA,9,6,72.46
Louisiana,Iberia Parish LA,5,2,57.85
Louisiana,Jackson Parish LA,5,6,65.97
Louisiana,Jefferson Davis Parish LA,5,6,65.18
Louisiana,Lincoln Parish LA,5,4,74.56
Louisiana,Morehouse Parish LA,5,6,63.10
Louisiana,Natchitoches Parish LA,5,6,75.04
Louisiana,Red River Parish LA,7,8,66.25
Louisiana,St. Landry Parish LA,5,4,61.69
Louisiana,St. Mary Parish LA,5,4,67.25
Louisiana,Vermilion Parish LA,5,2,65.13
Louisiana,Washington Parish LA,3,6,63.31
Louisiana,Webster Parish LA,5,2,69.45
Maine,Kennebec County ME,5,4,74.32
Maine,Lincoln County ME,7,8,75.07
Maryland,Dorchester County MD,5,6,63.33
Maryland,Garrett County MD,7,6,72.18
Maryland,Talbot County MD,3,6,71.37
Maryland,Worcester County MD,5,2,70.72
Michigan,Allegan County MI,5,4,69.66
Michigan,Arenac County MI,7,8,72.75
Michigan,Branch County MI,5,6,65.41
Michigan,Clare County MI,9,6,69.21
Michigan,Gratiot County MI,5,6,71.65
Michigan,Lenawee County MI,5,4,70.89
Michigan,Mecosta County MI,5,6,78.09
Michigan,Oceana County MI,7,6,66.24
Michigan,St. Joseph County MI,5,4,68.37
Michigan,Shiawassee County MI,5,4,70.52
Minnesota,Aitkin County MN,7,8,75.66
Minnesota,Clearwater County MN,7,8,65.40
Minnesota,Faribault County MN,9,6,67.24
Minnesota,Goodhue County MN,3,4,75.63
Minnesota,Kandiyohi County MN,5,4,62.22
Minnesota,Koochiching County MN,11,6,73.66
Minnesota,McLeod County MN,3,6,70.83
Minnesota,Mahnomen County MN,7,8,55.51
Minnesota,Marshall County MN,7,8,73.17
Minnesota,Mower County MN,5,4,71.16
Minnesota,Norman County MN,7,8,62.81
Minnesota,Otter Tail County MN,5,6,70.10
Minnesota,Red Lake County MN,7,8,71.63
Minnesota,Renville County MN,9,8,65.91
Minnesota,Rice County MN,3,4,70.95
Minnesota,Waseca County MN,9,6,68.89
Minnesota,Watonwan County MN,9,6,67.36
Minnesota,Wilkin County MN,5,6,67.66
Minnesota,Winona County MN,5,4,83.73
Mississippi,Amite County MS,5,8,69.73
Mississippi,Claiborne County MS,7,8,69.65
Mississippi,Greene County MS,7,8,73.56
Mississippi,Humphreys County MS,9,6,60.43
Mississippi,Jefferson Davis County MS,7,8,71.61
Mississippi,Jones County MS,5,4,63.62
Mississippi,Lafayette County MS,3,4,81.99
Mississippi,Lawrence County MS,7,8,64.75
Mississippi,Lincoln County MS,5,6,69.46
Mississippi,Pearl River County MS,3,6,66.86
Mississippi,Smith County MS,7,8,65.86
Mississippi,Tippah County MS,9,6,66.48
Mississippi,Union County MS,9,6,64.99
Mississippi,Warren County MS,5,4,61.58
Mississippi,Wilkinson County MS,7,8,69.20
Mississippi,Yazoo County MS,5,2,70.04
Missouri,Audrain County MO,5,6,63.17
Missouri,Dade County MO,7,8,69.16
Missouri,Gentry County MO,7,8,68.52
Missouri,Hickory County MO,7,8,67.38
Missouri,Holt County MO,7,8,68.88
Missouri,Johnson County MO,3,4,77.86
Missouri,Laclede County MO,5,6,64.87
Missouri,Madison County MO,9,6,66.75
Missouri,Maries County MO,7,8,71.87
Missouri,Mississippi County MO,9,6,68.46
Missouri,Nodaway County MO,5,6,87.54
Missouri,Perry County MO,9,6,68.24
Missouri,Pettis County MO,3,4,65.65
Missouri,Randolph County MO,5,6,65.53
Missouri,St. Francois County MO,3,4,70.32
Missouri,Saline County MO,3,6,69.23
Missouri,Stoddard County MO,9,6,68.00
Missouri,Stone County MO,5,6,74.10
Missouri,Taney County MO,5,4,68.39
Missouri,Washington County MO,1,6,69.95
Montana,Chouteau County MT,7,8,68.77
Montana,Granite County MT,7,8,77.06
Montana,Judith Basin County MT,7,8,75.77
Montana,Mineral County MT,7,8,68.39
Montana,Musselshell County MT,7,8,67.15
Montana,Powell County MT,9,6,77.89
Montana,Sanders County MT,7,8,73.33
Montana,Stillwater County MT,7,8,70.76
Montana,Teton County MT,7,8,69.29
Montana,Treasure County MT,7,8,59.74
Nebraska,Burt County NE,7,8,71.51
Nebraska,Dodge County NE,5,4,70.12
Nebraska,Gage County NE,5,6,72.04
Nebraska,Johnson County NE,7,8,76.55
Nebraska,Thurston County NE,7,8,50.84
Nebraska,York County NE,11,6,70.20
Nevada,Churchill County NV,5,6,64.55
Nevada,Douglas County NV,5,4,73.62
Nevada,Nye County NV,3,4,71.23
New Hampshire,Belknap County NH,3,4,69.34
New Hampshire,Cheshire County NH,5,4,76.53
New Hampshire,Merrimack County NH,5,4,74.93
New Mexico,Cibola County NM,5,6,69.36
New Mexico,Los Alamos County NM,5,6,82.13
New Mexico,Luna County NM,5,6,63.53
New Mexico,Otero County NM,5,4,65.56
New Mexico,Rio Arriba County NM,5,4,69.68
New Mexico,San Miguel County NM,5,6,77.46
New York,Cattaraugus County NY,3,4,68.35
New York,Cayuga County NY,5,4,72.83
New York,Chautauqua County NY,3,4,69.42
New York,Columbia County NY,5,6,76.24
New York,Cortland County NY,5,4,77.69
New York,Fulton County NY,5,4,69.71
New York,Genesee County NY,3,4,70.55
New York,Hamilton County NY,7,8,78.47
New York,Montgomery County NY,5,4,64.71
New York,Schuyler County NY,7,6,70.48
New York,Seneca County NY,3,6,67.40
New York,Steuben County NY,5,4,68.99
North Carolina,Anson County NC,1,6,67.63
North Carolina,Avery County NC,7,8,74.90
North Carolina,Beaufort County NC,5,6,69.58
North Carolina,Camden County NC,3,8,72.85
North Carolina,Carteret County NC,5,4,71.74
North Carolina,Caswell County NC,7,8,67.71
North Carolina,Chowan County NC,9,6,64.60
North Carolina,Cleveland County NC,3,4,67.36
North Carolina,Davidson County NC,5,2,66.32
North Carolina,Halifax County NC,5,4,66.82
North Carolina,Harnett County NC,5,4,64.05
North Carolina,Hertford County NC,11,6,71.64
North Carolina,Lee County NC,5,4,65.62
North Carolina,Lenoir County NC,5,4,62.02
North Carolina,Moore County NC,5,4,70.03
North Carolina,Polk County NC,7,8,72.29
North Carolina,Robeson County NC,5,4,63.38
North Carolina,Rutherford County NC,5,4,69.59
North Carolina,Scotland County NC,5,6,62.63
North Carolina,Stanly County NC,3,6,68.10
North Carolina,Surry County NC,5,4,68.95
North Carolina,Swain County NC,7,8,67.09
North Carolina,Transylvania County NC,5,6,72.32
North Carolina,Vance County NC,5,4,68.13
North Carolina,Warren County NC,7,8,71.25
